Name,AppID
DreamBreak — Special Edition,504970
Groove Coaster - Konohazuku,966520
Bitcoin,819650
Blade Symphony Soundtrack,301600
Paradise Checkers,986760
Race Against a Duck: Duck Deluxe,2808150
Let's Ride! Silver Buckle Stables,1587860
Hidden Square Demo,3008430
Blagmoz Soundtrack,2720240
Glöd,1927500
GunQuest Playtest,1972790
Fluffy Creatures VS The World,619400
Strange Waveforms,3574700
Speedpunk - Greeble city,1623781
The Divide,1841530
Dark Romance: Heart of the Beast Collector's Edition,826420
ダンジョン人狼　スペシャルスタンプ　チャン,3016440
Queen of Seas,575580
Sassy Girl,2471650
Gradually Forward,1057450
Anti-Bully Adventure,1928680
Digital Influence,3146840
DANGER! Escape Lab,1413680
이세계메이드 / 외전소설,2429500
OVERKILL,2166360
Humans Took my Neighbors Demo,1466510
Trackmania Turbo,375900
- Doki Doki Family - 特異体質者のドキドキ家族生活,1961860
RPG Maker VX Ace - Aztec Character Pack,618770
Strategy & Tactics: Wargame Collection,338130
Broken Hearts Island,2499420
The Legend of Heroes: Trails of Cold Steel - Alisa's Casuals,605280
Nauticalypse,1626060
Insurgency: Sandstorm - Damascus Weapon Skin Set,2062370
HITMAN 3 - Seven Deadly Sins Collection,1829587
Kitty Loves Birds,3230860
Fluida,2794990
Void Rush,2050770
Eden Genesis: Piano Collection,3048810
Paint By Numbers - 8-Bit World Ep. 9,3042910
Super Virus Defense,2026270
100 Asian Cats - Donation M,2733960
Steel Division 2 - Burning Baltics,1418231
Coloring Pixels - Flag Pack,942230
Heroes Rise: The Hero Project Demo,305440
The Tower Of TigerQiuQiu Guardian,1446910
Until Last Breath Soundtrack,1425150
She Wants Me Dead - Track DLC,473420
Monster Hunter World: Iceborne - Pendant: Moly Pendant - Protection,1241284
WindSoul,631960
Looking For Cats In a Badly Drawn Forest,2795860
Tetsumo Party,1006120
COZY DESKTOP KONBINI,3503230
"Find & Destroy - Rare Set ""Sturmgeschütz""",862914
Chrono Odyssey,2873440
Kyōtabi,2236460
Pirates Odyssey,1939780
Dominated By: Sadistic Sensei,3310410
Viking Heroes 5,2725020
Turbo Live Demo,3273080
Vitrum Demo,294350
Clay Game,1276100
BQM - BlockQuest Maker Remastered Demo,2184500
Infectonator 3: Apocalypse,666570
"Dimmdrive :: Gaming Ramdrive @ 10,000+ MB/s",337070
搾精錬金工房イリス～錬金術師と勇者と竜騎士と女神さまのえっちな冒険～,2780380
Jerez's Arena,1333360
Tombstone Tally,3249060
Visual Novel Maker - JRPG and Fantasy Music Vol 3,1624400
Squares of Hell,3005260
The Rise of the Hero,3348540
Sprite Sequence Chapter 2,1659270
Punch Max,2945510
LUXOR: 5th Passage ,60340
Tiger Fighter 1931 Tora! MP050,1704009
Love Season - Winter,1910070
Night Project - Chapter 3,3250500
The Feathered Serpent,1832240
Tomato Jones - Episode 3 Demo,804790
Zombie Blender,1555470
Planet Prospector,2822110
RenewEd3D,3343880
Wonder Zoo Playtest,2797030
Fantasy Grounds - D&D Rogue Class Pack,360099
Multiplayer FPS Tutorial Demo,628440
God's Challenge,1217640
World of Warplanes,790710
My Furry Neighbour,1705520
Animal Kingdom 3,3049770
Metal Thunder,3091340
GUNBIRD 2,1279410
Aboriginal,2337270
Candy Tycoon,2206380
Pinball Hero,3009440
リフトピア　もうひとのせ！,2216980
Tennis the Menace Demo,2270510
Devil May Cry 5 - Pasta Breaker,941958
The Witcher 3: Wild Hunt Soundtrack,1229320
Sales employee Takeru-Kun,2926300
No Turning Back: Class Unlock Pack 5,1342883
LOST EGG 2: Be together,1597400
Puzzle Checkers: The Rooks,3200200
The Mask Game,2398880
Creepy Claus,3320880
"Atelier Ryza 2: ""Nostalgic Straw Hat"" Accessory for Ryza",1441710
Don't Byte Your Tongue,1625440
Die Rangliste,1520690
轻点江湖水,1514280
Masquerade: The Baubles of Doom Demo,450510
VR 10 Pin Bowling,787580
Towers & Goblins: The Last Stand Demo,3285450
Top Villain: Total Domination,2411390
ナンプレ Classic - Soundtrack,2887170
Flowers -Le volume sur ete-,858940
Pinball FX - Godzilla vs. Kong Pinball Pack,2351844
Pixel Ripped 1995 - A Funky Pixel Ripped Tribute,1381920
RPG Maker MZ - MEGA FANTASY Walking Monsters and Faces,2998090
FIREWORK,974870
Gummy Jump 2,2890730
TaleSpire,720620
RPG Maker MZ - KR Halloween Party Tileset,2185610
电码无声,2936060
Kaf village,3134550
WolfQuest: Classic,431180
The Forest Prison,1742910
The God's Chain,504490
Splatter Demo,1768930
エネルギークラッシュ,3314090
Don't Remember,2194760
"Synth Riders - Muse - ""Algorithm (Alternate Reality Version)""",1515480
Tank Force: Online Shooter Game,604500
Deja Vu: MacVenture Series,343820
Succubus Runa and the Erotic Dungeon,1646180
Angel Legion-DLC Chain Trace (Blue),3123160
Minions of Elden,1295070
Uncle Kenny The Game Demo,2983210
Mystic Ruins,907900
VERSUS: The Lost Ones - WorningBird Hints,396250
Furry Woof and Nya - Artbook 18+,1374650
Mysterica,1394410
Immortals Revenge,3141480
Factory Planner Demo,3545010
TETRAGUN,1656310
Time Travelling Blues,1113870
SCP: Escape Together,1394270
Dustland Delivery Soundtrack,3347790
Prime Mover,693700
ElvenEscape,807980
Paper Dolls 2 逃出生天,1453650
Galaxy Champions TV,842750
ACT IT OUT XL!,675500
Choice of Magics Demo,918390
STRAFE Official Soundtrack,629940
Food Croupier,3429260
阿西娅：回到梦境,2456650
Delirium,2260030
Glass Masquerade 2: Illusions - Lunar Year Puzzle,1544950
Onimusha 2: Samurai's Destiny,3046600
Marvel's Midnight Suns - Blood Storm,1922634
RPG Maker MV - KR Legendary Palaces - Medusa Tileset,2531630
Demon Knives Playtest,3348060
Astro Colony Beta,1751000
Airball,1804370
Mind Trap,669730
The Terrible Persistence of Memory,1640830
Business tour. Great Leaders: King,865210
The Unknown City (Horror Begins Now.....Episode 1) Demo,819170
Cuboid Keeper Demo,974260
猫神牧场 Playtest,2802150
Relics Demo,3247160
Andarilho,450860
Beauty and the Beast,892550
Claws & Feathers 3,715240
Milk inside a bag of milk inside a bag of milk Soundtrack,1593020
Nevergrind,948820
Triple Dungeon,1569380
Debris Infinity,729390
Stella in Lewd Dream Demo,3255420
All Abug!,3474520
Tiny Gods Of The Nile,1663910
Wild Woods - Supporter Pack,3311820
Impromptu Trip,2196840
Crossroad,778150
Hentai Oni,2328290
SkyDribble,2462380
Space Thugs,3213960
Harlot's Diary,2895560
The Chosen,846610
Kawaii Girls,1600260
Planet Coaster - The Munsters® Munster Koach Construction Kit,611400
Test your knowledge: Cats,918180
My Brother Rabbit - Artbook,922581
Bridge Engineer,2205090
How To Survive 2 - Combat Knives,475130
Omni Edition Upgrade,884101
Roulette Simulator 2,1002490
Dark Past,1876030
NIGHTSTAR Demo,524210
The Shroomlings Playtest,2914240
The Cuberooms,1870610
Husk,553960
Build-a-lot Big Dreams,2116350
"О! 这个美丽的新 ""红色 ""世界!",1936790
Alia's Carnival! Flowering Sky,2425410
Phoenix Point - Expansion Pass,1619320
The Tower Of TigerQiuQiu Ninja Tiger:QiuQiu,1412281
Bellhop,2245300
Multishot,2004500
Kikoriki: What the wind will bring,519009
Painkiller Hell & Damnation -  Full Metal Rocket,229250
Artificial Wings,2381320
Small Bird Forest,2242660
Talon's Blade,2131460
探灵笔记·古墓地宫系列：小红-探墓小队服饰,1082810
Toads of the Bayou Playtest,2432340
Tin Hearts (AA-Side),2675880
I'm Truely a Good Guy!,3461300
Warface: Clutch — Engineer Starter Pack,2807060
Fort Awesome,594120
Royal Romances: Fortunes and Foes Collector's Edition Demo,3256580
Pawn Shop Simulator: Prologue,3036140
Vespera_Hotel 原声带&设定图,2772840
Darksiders,50620
WizardChess Demo,1274220
Tiger Tank 59 Ⅰ Battleship MP098,1680187
Counter-Strike 2,730
PUBG: BATTLEGROUNDS,578080
Monster Hunter Wilds,2246340
NARAKA: BLADEPOINT,1203220
Split Fiction,2001120
Apex Legends™,1172470
Grand Theft Auto V Enhanced,3240220
Wallpaper Engine,431960
Stardew Valley,413150
Rust,252490
R.E.P.O.,3241660
Grand Theft Auto V Legacy,271590
Marvel Rivals,2767030
Rise of the Ronin,1340990
Hero Siege,269210
WWE 2K25,2878960
Warborne: Above Ashes Playtest,3145660
The Walking Dead: The Telltale Definitive Series,1449690
Atelier Yumia: The Alchemist of Memories & the Envisioned Land - Demo,3473170
Spiritfarer®: Farewell Edition,972660
Undertale,391540
Enter the Gungeon,311690
DOOM,379720
That's not my Neighbor,3431040
Gravity Field,1425250
Heavy Rain,960910
Where they Go Demo,3537790
Feral Metaverse Demo,3532440
Humiliation Dungeon Survivors Demo,3529880
Regeneration Demo,3530090
Medieval Legacy Demo,3529350
EXONAUTIS Demo,3529360
Dice With Death Demo,3529120
Planet Hoarders Demo,3528250
Little Library Demo,3526650
Dark Dominance ~Chain Control~ Demo,3524630
Cave Path Demo,3522900
Ostrich Farm Demo,3521550
Ritual Party Demo,3520140
Buggos 2 Demo,3518880
GrimmKitchen Demo,3518910
Zoominoes Demo,3518930
幸运领主：命运的推币机 Demo,3516680
Metal Hunter Demo,3512220
Remote Reaper: FPV Drone Demo,3512560
the dreamland of lady zombie Demo,3508710
暗夜游侠 Demo,3508160
My Bimbo Dream Demo,3503560
龙之远征 Demo,3503600
文字遊戯(日本語版) Demo,3503000
Poly TD Demo,3500730
Planet Lust Demo,3500360
Moadra Demo,3499730
Dice A Million Demo,3497720
Nebulock Demo,3492970
Mechaknights Legends Demo,3491320
LOVE Hotel Simulator 🏩 Demo,3490200
MASSAGE MY EX-BULLY Demo,3489180
Blood Crawler Demo,3489190
Dino Topia Demo,3488860
Star Crafter Demo,3487900
江城大赢家 Demo,3487440
Dragon Song Tavern: Cozy & Adventurous Demo,3486510
Color Escape 🌈 Demo,3486800
Office Affairs : Executive Decisions Demo,3485600
Total Chaos Demo,3482880
Red October Demo,3480820
Sex &amp;amp; Coffee ☕️🤎 Demo,3479130
Nice Day for Fishing Demo,3473600
Piece by Piece Demo,3468410
ZombieCards Demo,3467980
Bloxpath Demo,3468010
Hotel Owner Simulator Demo,3468150
BLACKSHARD Demo,3462270
Yasuke Simulator Demo,3458990
Monster Care Simulator Demo,3457180
Guilty as Sock! Demo,3457300
Margaret’s sin Demo,3456680
Devil's Terminal Demo,3456750
野兽岛 Demo,3455310
凶寓 Demo,3452330
In Your Shoes Demo,3450070
Death Ring: Second Impact Demo,3450200
Starless Abyss Demo,3450230
摸猫美食街 Demo,3446320
Book Bound Demo,3442120
HorrorCore Demo,3441070
星际建造局 Demo,3439270
All Aboard! The Train Defense Express Demo,3436850
Airframe Ultra Demo,3434860
Sex Wish: A Deliciously Naughty Porn VN Demo,3433710
转生魔塔 Demo,3430970
Gummy Nightmares Demo,3430370
Restaurant Owner: A Restaurant Simulator Demo,3429100
Ginger Demo,3428230
Thesis of Love Demo,3421870
Clutchtime™: Basketball Deckbuilder Demo,3421020
Suspense Madman's Dreams Demo,3419840
Realms of Madness Demo,3417770
Stoneshard Demo,3413960
书恋与君：美少女教我追系花 Demo,3413180
无尽救援 EndlessSalvation Demo,3409850
Axyn Adventure Demo,3402650
The Three Kingdoms: The Tales of Jian An Demo,3380050
出将入相 Demo,3576160
Chuck Nolemland: The Starving Kid Demo,3567370
Fishing The Abyss DEMO,3553980
"Mythos, Book One Demo",3547680
There are no Orcs Demo,3543930
Qoob Demo,3541060
Bug Hunters Demo,3539510
Space for Sale Demo,2701850
Crusader Kings Complete,204940
Pickers,204440
America's Army: Proving Grounds,203290
Fortune Summoners: Secret of the Elemental Stone,203510
Warlock - Master of the Arcane,203630
Hegemony Gold: Wars of Ancient Greece,202690
Call of Duty: Black Ops II - Multiplayer,202990
Impire,202130
Sonic Generations Demo,202290
Ridge Racer™ Unbounded,202310
Beta Access to the New Steam Community,202351
Assassin's Creed Revelations,201870
Toki Tori 2+,201420
Serious Sam: The Random Encounter,201480
Revelations 2012,201070
PROTOTYPE 2,115320
Global Ops: Commando Libya,200020
Puzzler World 2,200130
Death Rally,108700
Data Jammers: FastForward,110500
Portal 2 - The Final Hours,104600
The Cursed Crusade,106000
Waves,107600
Orcs Must Die! Demo,102610
Silo 2,100400
Puzzle Pirates,99910
Frozen Synapse,98200
The Cat and the Coup,95700
Air Conflicts - Secret Wars,95900
Defy Gravity,96100
Kohan: Immortal Sovereigns,97110
Kohan: Ahriman's Gift,97120
Kohan II: Kings of War,97130
Back to the Future: Ep 5 - OUTATIME,94530
Cloning Clyde,91800
Post Apocalyptic Mayhem,91900
DETOUR,92100
Gundemonium Recollection,92200
Iron Front : Liberation 1944,91330
Majesty Gold HD,73230
Fate of the World,80200
Majesty 2 Collection,73020
Making History II: The War of the World - Demo,67100
Dino D-Day,70000
Hacker Evolution,70100
Hacker Evolution - Untold,70110
Recettear: An Item Shop's Tale,70400
Recettear: An Item Shop's Tale - Demo,70410
Chantelise,70420
Dustforce,65300
Arma 2: British Armed Forces,65700
Delve Deeper,63800
Numen: Contest of Heroes,60800
Age of Wonders: Shadow Magic,61520
HOARD,63000
Alter Ego,63110
A Game of Thrones - Genesis,58550
LUXOR: 5th Passage ,60340
Glowfish,60350
Tropico 3: Absolute Power,57600
Patrician IV: Rise of a Dynasty,57730
